name,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Clean sheets,Goals Conceded
David Raya,197,0,17,68,13,35,245,17,64
Bernd Leno,418,2,57,69,29,56,696,32,164
Jordan Pickford,755,4,130,141,48,102,990,60,353
José Sá,208,2,27,72,5,45,368,18,82
Vicente Guaita,449,1,89,85,36,49,741,42,196
Alisson,377,2,71,74,25,107,892,74,134
Illan Meslier,366,1,61,70,11,60,721,21,179
Danny Ward,91,1,5,20,6,19,170,6,51
David de Gea,"1,131",4,133,206,117,110,"1,522",141,440
Emiliano Martínez,355,3,13,130,31,42,511,40,142
